"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3181","Sort products by price low to high","BDD / Cucumber","Mon Mar 30 15:23:17 IST 2026","failed","Mon Mar 30 15:23:20 IST 2026","","Login with valid credentials","",""
"","3109","Complete checkout flow","BDD / Cucumber","Mon Mar 30 15:23:17 IST 2026","failed","Mon Mar 30 15:23:20 IST 2026","","Login with valid credentials","",""
"","8914","Login with invalid password","BDD / Cucumber","Mon Mar 30 15:23:11 IST 2026","failed","Mon Mar 30 15:23:20 IST 2026","","Login with valid credentials","",""
"","3113","Logout from application","BDD / Cucumber","Mon Mar 30 15:23:17 IST 2026","failed","Mon Mar 30 15:23:20 IST 2026","","Login with valid credentials","",""
"","704","Add product to cart","BDD / Cucumber","Mon Mar 30 15:23:19 IST 2026","failed","Mon Mar 30 15:23:20 IST 2026","","Login with valid credentials","",""
"","3081","Checkout with empty cart","BDD / Cucumber","Mon Mar 30 15:23:17 IST 2026","failed","Mon Mar 30 15:23:20 IST 2026","","Login with valid credentials","",""
"","3116","Verify product detail page","BDD / Cucumber","Mon Mar 30 15:23:17 IST 2026","failed","Mon Mar 30 15:23:20 IST 2026","","Login with valid credentials","",""
"","3144","Add multiple products and verify cart","BDD / Cucumber","Mon Mar 30 15:23:17 IST 2026","failed","Mon Mar 30 15:23:20 IST 2026","","Login with valid credentials","",""
"","3831","Login with valid credentials","BDD / Cucumber","Mon Mar 30 15:23:16 IST 2026","passed","Mon Mar 30 15:23:20 IST 2026","","Login with valid credentials","",""
"","3180","Sort products by name Z to A","BDD / Cucumber","Mon Mar 30 15:23:17 IST 2026","failed","Mon Mar 30 15:23:20 IST 2026","","Login with valid credentials","",""
"","3099","Remove product from cart","BDD / Cucumber","Mon Mar 30 15:23:17 IST 2026","failed","Mon Mar 30 15:23:20 IST 2026","","Login with valid credentials","",""
