"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","280","Verify page load performance","BDD / Cucumber","Tue Apr 07 12:54:39 IST 2026","skipped","Tue Apr 07 12:54:39 IST 2026","","SauceDemo E-commerce Application","",""
"","314","Verify page accessibility","BDD / Cucumber","Tue Apr 07 12:54:39 IST 2026","skipped","Tue Apr 07 12:54:39 IST 2026","","SauceDemo E-commerce Application","",""
"","246","Add multiple products to cart","BDD / Cucumber","Tue Apr 07 12:54:39 IST 2026","skipped","Tue Apr 07 12:54:39 IST 2026","","SauceDemo E-commerce Application","",""
"","366","Successful login with valid credentials","BDD / Cucumber","Tue Apr 07 12:54:38 IST 2026","skipped","Tue Apr 07 12:54:39 IST 2026","","SauceDemo E-commerce Application","",""
"","300","Login with invalid credentials","BDD / Cucumber","Tue Apr 07 12:54:39 IST 2026","skipped","Tue Apr 07 12:54:39 IST 2026","","SauceDemo E-commerce Application","",""
"","294","Finalize order","BDD / Cucumber","Tue Apr 07 12:54:39 IST 2026","skipped","Tue Apr 07 12:54:39 IST 2026","","SauceDemo E-commerce Application","",""
"","297","Filter to view single product","BDD / Cucumber","Tue Apr 07 12:54:39 IST 2026","skipped","Tue Apr 07 12:54:39 IST 2026","","SauceDemo E-commerce Application","",""
"","278","Logout from application","BDD / Cucumber","Tue Apr 07 12:54:39 IST 2026","skipped","Tue Apr 07 12:54:39 IST 2026","","SauceDemo E-commerce Application","",""
"","268","Sort products by price low to high","BDD / Cucumber","Tue Apr 07 12:54:39 IST 2026","skipped","Tue Apr 07 12:54:39 IST 2026","","SauceDemo E-commerce Application","",""
"","314","Sort products by price high to low","BDD / Cucumber","Tue Apr 07 12:54:39 IST 2026","skipped","Tue Apr 07 12:54:39 IST 2026","","SauceDemo E-commerce Application","",""
"","277","Add single product to cart","BDD / Cucumber","Tue Apr 07 12:54:39 IST 2026","skipped","Tue Apr 07 12:54:39 IST 2026","","SauceDemo E-commerce Application","",""
"","285","Complete checkout process","BDD / Cucumber","Tue Apr 07 12:54:39 IST 2026","skipped","Tue Apr 07 12:54:39 IST 2026","","SauceDemo E-commerce Application","",""
"","305","View products list","BDD / Cucumber","Tue Apr 07 12:54:38 IST 2026","skipped","Tue Apr 07 12:54:39 IST 2026","","SauceDemo E-commerce Application","",""
"","242","Remove product from cart","BDD / Cucumber","Tue Apr 07 12:54:39 IST 2026","skipped","Tue Apr 07 12:54:39 IST 2026","","SauceDemo E-commerce Application","",""
