"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","SauceDemo E-commerce Application","0","1","Verify page accessibility","0"
"0","","0","SauceDemo E-commerce Application","0","1","Remove product from cart","0"
"0","","0","SauceDemo E-commerce Application","0","1","Login with invalid credentials","0"
"0","","0","SauceDemo E-commerce Application","0","1","Successful login with valid credentials","0"
"0","","0","SauceDemo E-commerce Application","0","1","Logout from application","0"
"0","","0","SauceDemo E-commerce Application","0","1","Complete checkout process","0"
"0","","0","SauceDemo E-commerce Application","0","1","Finalize order","0"
"0","","0","SauceDemo E-commerce Application","0","1","Add multiple products to cart","0"
"0","","0","SauceDemo E-commerce Application","0","1","Add single product to cart","0"
"0","","0","SauceDemo E-commerce Application","0","1","Sort products by price low to high","0"
"0","","0","SauceDemo E-commerce Application","0","1","Verify page load performance","0"
"0","","0","SauceDemo E-commerce Application","0","1","Filter to view single product","0"
"0","","0","SauceDemo E-commerce Application","0","1","Sort products by price high to low","0"
"0","","0","SauceDemo E-commerce Application","0","1","View products list","0"
