"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","495","Verify page accessibility","BDD / Cucumber","Tue Apr 07 12:50:45 IST 2026","skipped","Tue Apr 07 12:50:46 IST 2026","","SauceDemo E-commerce Application","",""
"","555","Remove product from cart","BDD / Cucumber","Tue Apr 07 12:50:45 IST 2026","skipped","Tue Apr 07 12:50:46 IST 2026","","SauceDemo E-commerce Application","",""
"","509","Login with invalid credentials","BDD / Cucumber","Tue Apr 07 12:50:45 IST 2026","skipped","Tue Apr 07 12:50:46 IST 2026","","SauceDemo E-commerce Application","",""
"","1045","Successful login with valid credentials","BDD / Cucumber","Tue Apr 07 12:50:44 IST 2026","skipped","Tue Apr 07 12:50:46 IST 2026","","SauceDemo E-commerce Application","",""
"","566","Logout from application","BDD / Cucumber","Tue Apr 07 12:50:45 IST 2026","skipped","Tue Apr 07 12:50:46 IST 2026","","SauceDemo E-commerce Application","",""
"","767","Complete checkout process","BDD / Cucumber","Tue Apr 07 12:50:45 IST 2026","skipped","Tue Apr 07 12:50:46 IST 2026","","SauceDemo E-commerce Application","",""
"","535","Finalize order","BDD / Cucumber","Tue Apr 07 12:50:45 IST 2026","skipped","Tue Apr 07 12:50:46 IST 2026","","SauceDemo E-commerce Application","",""
"","552","Add multiple products to cart","BDD / Cucumber","Tue Apr 07 12:50:45 IST 2026","skipped","Tue Apr 07 12:50:46 IST 2026","","SauceDemo E-commerce Application","",""
"","523","Add single product to cart","BDD / Cucumber","Tue Apr 07 12:50:45 IST 2026","skipped","Tue Apr 07 12:50:46 IST 2026","","SauceDemo E-commerce Application","",""
"","601","Sort products by price low to high","BDD / Cucumber","Tue Apr 07 12:50:45 IST 2026","skipped","Tue Apr 07 12:50:46 IST 2026","","SauceDemo E-commerce Application","",""
"","473","Verify page load performance","BDD / Cucumber","Tue Apr 07 12:50:45 IST 2026","skipped","Tue Apr 07 12:50:46 IST 2026","","SauceDemo E-commerce Application","",""
"","571","Filter to view single product","BDD / Cucumber","Tue Apr 07 12:50:45 IST 2026","skipped","Tue Apr 07 12:50:46 IST 2026","","SauceDemo E-commerce Application","",""
"","563","Sort products by price high to low","BDD / Cucumber","Tue Apr 07 12:50:45 IST 2026","skipped","Tue Apr 07 12:50:46 IST 2026","","SauceDemo E-commerce Application","",""
"","702","View products list","BDD / Cucumber","Tue Apr 07 12:50:45 IST 2026","skipped","Tue Apr 07 12:50:46 IST 2026","","SauceDemo E-commerce Application","",""
