"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3149","Verify product detail page","BDD / Cucumber","Mon Mar 30 15:14:12 IST 2026","failed","Mon Mar 30 15:14:15 IST 2026","","Login with valid credentials","",""
"","722","Add product to cart","BDD / Cucumber","Mon Mar 30 15:14:15 IST 2026","failed","Mon Mar 30 15:14:15 IST 2026","","Login with valid credentials","",""
"","3111","Checkout with empty cart","BDD / Cucumber","Mon Mar 30 15:14:12 IST 2026","failed","Mon Mar 30 15:14:15 IST 2026","","Login with valid credentials","",""
"","4722","Login with valid credentials","BDD / Cucumber","Mon Mar 30 15:14:11 IST 2026","failed","Mon Mar 30 15:14:15 IST 2026","","Login with valid credentials","",""
"","3167","Add multiple products and verify cart","BDD / Cucumber","Mon Mar 30 15:14:12 IST 2026","failed","Mon Mar 30 15:14:15 IST 2026","","Login with valid credentials","",""
"","3195","Sort products by name Z to A","BDD / Cucumber","Mon Mar 30 15:14:12 IST 2026","failed","Mon Mar 30 15:14:15 IST 2026","","Login with valid credentials","",""
"","4040","Login with invalid password","BDD / Cucumber","Mon Mar 30 15:14:11 IST 2026","failed","Mon Mar 30 15:14:15 IST 2026","","Login with valid credentials","",""
"","3198","Logout from application","BDD / Cucumber","Mon Mar 30 15:14:12 IST 2026","failed","Mon Mar 30 15:14:15 IST 2026","","Login with valid credentials","",""
"","3113","Sort products by price low to high","BDD / Cucumber","Mon Mar 30 15:14:12 IST 2026","failed","Mon Mar 30 15:14:15 IST 2026","","Login with valid credentials","",""
"","3219","Remove product from cart","BDD / Cucumber","Mon Mar 30 15:14:12 IST 2026","failed","Mon Mar 30 15:14:15 IST 2026","","Login with valid credentials","",""
"","3109","Complete checkout flow","BDD / Cucumber","Mon Mar 30 15:14:12 IST 2026","failed","Mon Mar 30 15:14:15 IST 2026","","Login with valid credentials","",""
