"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","301","Remove product from cart","BDD / Cucumber","Mon Mar 30 14:41:36 IST 2026","passed","Mon Mar 30 14:41:36 IST 2026","","Login with valid credentials","",""
"","344","Add multiple products and verify cart","BDD / Cucumber","Mon Mar 30 14:41:36 IST 2026","passed","Mon Mar 30 14:41:36 IST 2026","","Login with valid credentials","",""
"","332","Logout from application","BDD / Cucumber","Mon Mar 30 14:41:36 IST 2026","passed","Mon Mar 30 14:41:36 IST 2026","","Login with valid credentials","",""
"","297","Checkout with empty cart","BDD / Cucumber","Mon Mar 30 14:41:36 IST 2026","passed","Mon Mar 30 14:41:36 IST 2026","","Login with valid credentials","",""
"","273","Complete checkout flow","BDD / Cucumber","Mon Mar 30 14:41:36 IST 2026","passed","Mon Mar 30 14:41:36 IST 2026","","Login with valid credentials","",""
"","282","Sort products by price low to high","BDD / Cucumber","Mon Mar 30 14:41:36 IST 2026","passed","Mon Mar 30 14:41:36 IST 2026","","Login with valid credentials","",""
"","288","Verify product detail page","BDD / Cucumber","Mon Mar 30 14:41:36 IST 2026","passed","Mon Mar 30 14:41:36 IST 2026","","Login with valid credentials","",""
"","2951","Login with valid credentials","BDD / Cucumber","Mon Mar 30 14:41:33 IST 2026","passed","Mon Mar 30 14:41:36 IST 2026","","Login with valid credentials","",""
"","286","Sort products by name Z to A","BDD / Cucumber","Mon Mar 30 14:41:36 IST 2026","passed","Mon Mar 30 14:41:36 IST 2026","","Login with valid credentials","",""
"","2805","Login with invalid password","BDD / Cucumber","Mon Mar 30 14:41:33 IST 2026","passed","Mon Mar 30 14:41:36 IST 2026","","Login with valid credentials","",""
"","331","Add product to cart","BDD / Cucumber","Mon Mar 30 14:41:36 IST 2026","passed","Mon Mar 30 14:41:36 IST 2026","","Login with valid credentials","",""
