"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5725","Sort products by name Z to A","BDD / Cucumber","Mon Mar 30 15:45:03 IST 2026","failed","Mon Mar 30 15:45:08 IST 2026","","Login with valid credentials","",""
"","5161","Complete checkout flow","BDD / Cucumber","Mon Mar 30 15:45:03 IST 2026","skipped","Mon Mar 30 15:45:08 IST 2026","","Login with valid credentials","",""
"","5774","Add product to cart","BDD / Cucumber","Mon Mar 30 15:45:03 IST 2026","failed","Mon Mar 30 15:45:08 IST 2026","","Login with valid credentials","",""
"","5608","Verify product detail page","BDD / Cucumber","Mon Mar 30 15:45:03 IST 2026","failed","Mon Mar 30 15:45:08 IST 2026","","Login with valid credentials","",""
"","5357","Add multiple products and verify cart","BDD / Cucumber","Mon Mar 30 15:45:03 IST 2026","failed","Mon Mar 30 15:45:08 IST 2026","","Login with valid credentials","",""
"","5947","Remove product from cart","BDD / Cucumber","Mon Mar 30 15:45:03 IST 2026","failed","Mon Mar 30 15:45:08 IST 2026","","Login with valid credentials","",""
"","5073","Login with valid credentials","BDD / Cucumber","Mon Mar 30 15:45:03 IST 2026","passed","Mon Mar 30 15:45:08 IST 2026","","Login with valid credentials","",""
"","5597","Sort products by price low to high","BDD / Cucumber","Mon Mar 30 15:45:03 IST 2026","failed","Mon Mar 30 15:45:08 IST 2026","","Login with valid credentials","",""
"","66098","Logout from application","BDD / Cucumber","Mon Mar 30 15:44:02 IST 2026","failed","Mon Mar 30 15:45:08 IST 2026","","Login with valid credentials","",""
"","4846","Login with invalid password","BDD / Cucumber","Mon Mar 30 15:45:04 IST 2026","passed","Mon Mar 30 15:45:08 IST 2026","","Login with valid credentials","",""
"","5824","Checkout with empty cart","BDD / Cucumber","Mon Mar 30 15:45:03 IST 2026","failed","Mon Mar 30 15:45:08 IST 2026","","Login with valid credentials","",""
