"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login with valid credentials","0","1","Add product to cart","0"
"0","","0","Login with valid credentials","0","1","Checkout with empty cart","0"
"0","","0","Login with valid credentials","0","1","Add multiple products and verify cart","0"
"0","","0","Login with valid credentials","0","1","Complete checkout flow","0"
"0","","0","Login with valid credentials","0","1","Sort products by price low to high","0"
"0","","0","Login with valid credentials","0","1","Logout from application","0"
"0","","0","Login with valid credentials","0","1","Remove product from cart","0"
"0","","0","Login with valid credentials","0","1","Login with invalid password","0"
"0","","0","Login with valid credentials","0","1","Verify product detail page","0"
"0","","0","Login with valid credentials","0","1","Login with valid credentials","0"
"0","","0","Login with valid credentials","0","1","Sort products by name Z to A","0"
