"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","319","Add product to cart","BDD / Cucumber","Mon Mar 30 14:58:52 IST 2026","skipped","Mon Mar 30 14:58:52 IST 2026","","Login with valid credentials","",""
"","285","Checkout with empty cart","BDD / Cucumber","Mon Mar 30 14:58:52 IST 2026","skipped","Mon Mar 30 14:58:52 IST 2026","","Login with valid credentials","",""
"","373","Add multiple products and verify cart","BDD / Cucumber","Mon Mar 30 14:58:52 IST 2026","skipped","Mon Mar 30 14:58:52 IST 2026","","Login with valid credentials","",""
"","304","Complete checkout flow","BDD / Cucumber","Mon Mar 30 14:58:52 IST 2026","skipped","Mon Mar 30 14:58:52 IST 2026","","Login with valid credentials","",""
"","320","Sort products by price low to high","BDD / Cucumber","Mon Mar 30 14:58:52 IST 2026","skipped","Mon Mar 30 14:58:52 IST 2026","","Login with valid credentials","",""
"","317","Logout from application","BDD / Cucumber","Mon Mar 30 14:58:52 IST 2026","skipped","Mon Mar 30 14:58:52 IST 2026","","Login with valid credentials","",""
"","292","Remove product from cart","BDD / Cucumber","Mon Mar 30 14:58:52 IST 2026","skipped","Mon Mar 30 14:58:52 IST 2026","","Login with valid credentials","",""
"","2684","Login with invalid password","BDD / Cucumber","Mon Mar 30 14:58:50 IST 2026","skipped","Mon Mar 30 14:58:52 IST 2026","","Login with valid credentials","",""
"","297","Verify product detail page","BDD / Cucumber","Mon Mar 30 14:58:52 IST 2026","skipped","Mon Mar 30 14:58:52 IST 2026","","Login with valid credentials","",""
"","2834","Login with valid credentials","BDD / Cucumber","Mon Mar 30 14:58:49 IST 2026","skipped","Mon Mar 30 14:58:52 IST 2026","","Login with valid credentials","",""
"","294","Sort products by name Z to A","BDD / Cucumber","Mon Mar 30 14:58:52 IST 2026","skipped","Mon Mar 30 14:58:52 IST 2026","","Login with valid credentials","",""
