"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login with valid credentials","1","0","Remove product from cart","0"
"0","","0","Login with valid credentials","1","0","Checkout with empty cart","0"
"0","","0","Login with valid credentials","1","0","Add product to cart","0"
"0","","0","Login with valid credentials","1","0","Sort products by price low to high","0"
"0","","0","Login with valid credentials","1","0","Add multiple products and verify cart","0"
"0","","0","Login with valid credentials","1","0","Complete checkout flow","0"
"0","","0","Login with valid credentials","1","0","Login with invalid password","0"
"0","","0","Login with valid credentials","1","0","Logout from application","0"
"0","","0","Login with valid credentials","1","0","Sort products by name Z to A","0"
"0","","0","Login with valid credentials","1","0","Login with valid credentials","0"
"0","","0","Login with valid credentials","1","0","Verify product detail page","0"
