"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","325","Remove product from cart","BDD / Cucumber","Mon Mar 30 14:38:13 IST 2026","passed","Mon Mar 30 14:38:13 IST 2026","","Login with valid credentials","",""
"","283","Checkout with empty cart","BDD / Cucumber","Mon Mar 30 14:38:13 IST 2026","passed","Mon Mar 30 14:38:13 IST 2026","","Login with valid credentials","",""
"","316","Add product to cart","BDD / Cucumber","Mon Mar 30 14:38:13 IST 2026","passed","Mon Mar 30 14:38:13 IST 2026","","Login with valid credentials","",""
"","265","Sort products by price low to high","BDD / Cucumber","Mon Mar 30 14:38:13 IST 2026","passed","Mon Mar 30 14:38:13 IST 2026","","Login with valid credentials","",""
"","271","Add multiple products and verify cart","BDD / Cucumber","Mon Mar 30 14:38:13 IST 2026","passed","Mon Mar 30 14:38:13 IST 2026","","Login with valid credentials","",""
"","305","Complete checkout flow","BDD / Cucumber","Mon Mar 30 14:38:13 IST 2026","passed","Mon Mar 30 14:38:13 IST 2026","","Login with valid credentials","",""
"","3639","Login with invalid password","BDD / Cucumber","Mon Mar 30 14:38:10 IST 2026","passed","Mon Mar 30 14:38:13 IST 2026","","Login with valid credentials","",""
"","289","Logout from application","BDD / Cucumber","Mon Mar 30 14:38:13 IST 2026","passed","Mon Mar 30 14:38:13 IST 2026","","Login with valid credentials","",""
"","314","Sort products by name Z to A","BDD / Cucumber","Mon Mar 30 14:38:13 IST 2026","passed","Mon Mar 30 14:38:13 IST 2026","","Login with valid credentials","",""
"","3823","Login with valid credentials","BDD / Cucumber","Mon Mar 30 14:38:09 IST 2026","passed","Mon Mar 30 14:38:13 IST 2026","","Login with valid credentials","",""
"","300","Verify product detail page","BDD / Cucumber","Mon Mar 30 14:38:13 IST 2026","passed","Mon Mar 30 14:38:13 IST 2026","","Login with valid credentials","",""
