"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1591","Remove product from cart","BDD / Cucumber","Tue Apr 07 12:37:51 IST 2026","skipped","Tue Apr 07 12:37:53 IST 2026","","SauceDemo E-commerce Application","",""
"","1636","Filter to view single product","BDD / Cucumber","Tue Apr 07 12:37:51 IST 2026","skipped","Tue Apr 07 12:37:53 IST 2026","","SauceDemo E-commerce Application","",""
"","3238","Sort products by price high to low","BDD / Cucumber","Tue Apr 07 12:37:50 IST 2026","skipped","Tue Apr 07 12:37:53 IST 2026","","SauceDemo E-commerce Application","",""
"","2827","Sort products by price low to high","BDD / Cucumber","Tue Apr 07 12:37:50 IST 2026","skipped","Tue Apr 07 12:37:53 IST 2026","","SauceDemo E-commerce Application","",""
"","1352","View products list","BDD / Cucumber","Tue Apr 07 12:37:52 IST 2026","skipped","Tue Apr 07 12:37:53 IST 2026","","SauceDemo E-commerce Application","",""
"","1597","Finalize order","BDD / Cucumber","Tue Apr 07 12:37:51 IST 2026","skipped","Tue Apr 07 12:37:53 IST 2026","","SauceDemo E-commerce Application","",""
"","8309","Logout from application","BDD / Cucumber","Tue Apr 07 12:37:45 IST 2026","skipped","Tue Apr 07 12:37:53 IST 2026","","SauceDemo E-commerce Application","",""
"","1363","Add single product to cart","BDD / Cucumber","Tue Apr 07 12:37:52 IST 2026","skipped","Tue Apr 07 12:37:53 IST 2026","","SauceDemo E-commerce Application","",""
"","1705","Add multiple products to cart","BDD / Cucumber","Tue Apr 07 12:37:51 IST 2026","skipped","Tue Apr 07 12:37:53 IST 2026","","SauceDemo E-commerce Application","",""
"","1477","Verify page accessibility","BDD / Cucumber","Tue Apr 07 12:37:52 IST 2026","skipped","Tue Apr 07 12:37:53 IST 2026","","SauceDemo E-commerce Application","",""
"","3203","Successful login with valid credentials","BDD / Cucumber","Tue Apr 07 12:37:50 IST 2026","skipped","Tue Apr 07 12:37:53 IST 2026","","SauceDemo E-commerce Application","",""
"","1937","Verify page load performance","BDD / Cucumber","Tue Apr 07 12:37:51 IST 2026","skipped","Tue Apr 07 12:37:53 IST 2026","","SauceDemo E-commerce Application","",""
"","1687","Login with invalid credentials","BDD / Cucumber","Tue Apr 07 12:37:51 IST 2026","skipped","Tue Apr 07 12:37:53 IST 2026","","SauceDemo E-commerce Application","",""
"","1491","Complete checkout process","BDD / Cucumber","Tue Apr 07 12:37:52 IST 2026","skipped","Tue Apr 07 12:37:53 IST 2026","","SauceDemo E-commerce Application","",""
