"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","712","Add product to cart","BDD / Cucumber","Mon Mar 30 15:27:41 IST 2026","failed","Mon Mar 30 15:27:42 IST 2026","","Login with valid credentials","",""
"","3086","Complete checkout flow","BDD / Cucumber","Mon Mar 30 15:27:39 IST 2026","failed","Mon Mar 30 15:27:42 IST 2026","","Login with valid credentials","",""
"","3150","Remove product from cart","BDD / Cucumber","Mon Mar 30 15:27:39 IST 2026","failed","Mon Mar 30 15:27:42 IST 2026","","Login with valid credentials","",""
"","3151","Logout from application","BDD / Cucumber","Mon Mar 30 15:27:39 IST 2026","failed","Mon Mar 30 15:27:42 IST 2026","","Login with valid credentials","",""
"","8942","Login with invalid password","BDD / Cucumber","Mon Mar 30 15:27:33 IST 2026","failed","Mon Mar 30 15:27:42 IST 2026","","Login with valid credentials","",""
"","3843","Login with valid credentials","BDD / Cucumber","Mon Mar 30 15:27:38 IST 2026","passed","Mon Mar 30 15:27:42 IST 2026","","Login with valid credentials","",""
"","3183","Sort products by name Z to A","BDD / Cucumber","Mon Mar 30 15:27:39 IST 2026","failed","Mon Mar 30 15:27:42 IST 2026","","Login with valid credentials","",""
"","3161","Checkout with empty cart","BDD / Cucumber","Mon Mar 30 15:27:39 IST 2026","failed","Mon Mar 30 15:27:42 IST 2026","","Login with valid credentials","",""
"","3130","Sort products by price low to high","BDD / Cucumber","Mon Mar 30 15:27:39 IST 2026","failed","Mon Mar 30 15:27:42 IST 2026","","Login with valid credentials","",""
"","3180","Verify product detail page","BDD / Cucumber","Mon Mar 30 15:27:39 IST 2026","failed","Mon Mar 30 15:27:42 IST 2026","","Login with valid credentials","",""
"","3077","Add multiple products and verify cart","BDD / Cucumber","Mon Mar 30 15:27:39 IST 2026","failed","Mon Mar 30 15:27:42 IST 2026","","Login with valid credentials","",""
